Date,Open,High,Low,Close,Volume
27-Jun-17,3.91,3.98,3.78,3.81,21070488
26-Jun-17,4.01,4.05,3.84,3.85,20083530
23-Jun-17,3.96,4.03,3.93,4.01,19772291
22-Jun-17,3.89,4.05,3.87,3.96,18361714
21-Jun-17,4.11,4.13,3.71,3.89,43100273
20-Jun-17,3.94,4.12,3.83,4.10,37662476
19-Jun-17,4.06,4.15,4.00,4.08,18503908
16-Jun-17,3.98,4.12,3.88,4.09,27785998
15-Jun-17,4.10,4.15,3.69,3.77,50122946
14-Jun-17,4.49,4.50,4.12,4.15,25524353
13-Jun-17,4.39,4.55,4.34,4.52,29264253
12-Jun-17,4.55,4.63,4.33,4.36,25023253
9-Jun-17,4.20,4.55,4.11,4.46,31597225
8-Jun-17,4.34,4.36,4.11,4.19,30879839
7-Jun-17,4.67,4.77,4.30,4.36,33830434
6-Jun-17,4.65,4.75,4.48,4.73,28237219
5-Jun-17,4.69,4.73,4.57,4.68,17680943
2-Jun-17,4.75,4.78,4.50,4.73,21962471
1-Jun-17,4.82,4.98,4.74,4.79,24897684
31-May-17,4.83,4.91,4.61,4.80,34036075
30-May-17,5.02,5.10,4.87,4.90,20016131
26-May-17,5.12,5.20,5.03,5.09,11627571
25-May-17,5.32,5.40,4.97,5.09,29573502
24-May-17,5.32,5.48,5.24,5.32,24192212
23-May-17,5.36,5.40,5.20,5.33,12986978
22-May-17,5.35,5.45,5.21,5.27,16654741
19-May-17,5.09,5.33,5.05,5.23,20906884
18-May-17,4.93,5.10,4.86,5.05,17879639
17-May-17,5.07,5.12,4.96,4.97,20370747
16-May-17,5.19,5.27,5.03,5.15,16792729
15-May-17,5.23,5.41,5.12,5.23,26591502
12-May-17,5.13,5.15,5.00,5.04,13366777
11-May-17,5.28,5.28,5.10,5.12,17607059
10-May-17,5.15,5.34,5.08,5.19,22179518
9-May-17,5.12,5.16,4.88,5.07,25772080
8-May-17,5.19,5.25,5.07,5.13,21292570
5-May-17,5.04,5.23,4.94,5.21,24061837
4-May-17,5.20,5.21,4.83,5.03,41772181
3-May-17,5.29,5.45,5.15,5.32,22484116
2-May-17,5.48,5.57,5.26,5.30,27994533
1-May-17,5.73,5.79,5.40,5.47,34330473
28-Apr-17,5.94,6.09,5.77,5.77,40989979
27-Apr-17,5.65,5.67,5.33,5.62,35532598
26-Apr-17,5.52,5.93,5.52,5.74,21772207
25-Apr-17,5.49,5.66,5.39,5.61,19195439
24-Apr-17,5.54,5.58,5.32,5.48,20953118
21-Apr-17,5.70,5.72,5.46,5.47,23320340
20-Apr-17,5.75,5.81,5.62,5.71,17287181
19-Apr-17,6.08,6.09,5.68,5.72,29150756
18-Apr-17,5.89,6.02,5.78,5.98,23586913
17-Apr-17,6.10,6.16,5.91,5.92,19003118
13-Apr-17,6.13,6.30,6.00,6.06,24992066
12-Apr-17,6.49,6.52,6.23,6.33,19874268
11-Apr-17,6.52,6.59,6.42,6.52,15090580
10-Apr-17,6.44,6.59,6.39,6.52,13100759
7-Apr-17,6.60,6.62,6.32,6.35,18611276
6-Apr-17,6.58,6.72,6.47,6.57,18751344
5-Apr-17,6.68,6.86,6.52,6.55,22223176
